rank,year,forecast_horizon,country_name,iso3,j,k,description_short,forecasted_value,latest_historical_demand,latest_alg_export_v,predicted_growth_abs,predicted_growth_pct,global_demand_rank,rca,market_penetration,low_market_penetration_score,forecast_opportunity_score,model_used,is_hydrocarbon,forecast_scope,reason_or_interpretation
264,2025,2,Brazil,BRA,76,870421,Vehicles: compression-ignition internal combustion piston en,4732131.482548933,2827350.136,0.0,1904781.3465489328,67.36984295987219,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.5184770930801625,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
265,2025,2,Australia,AUS,36,870421,Vehicles: compression-ignition internal combustion piston en,11162294.126794478,7415503.362000001,0.0,3746790.764794477,50.52645224320885,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.5181470518208322,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
266,2025,2,China,CHN,156,710813,"Metals: gold, semi-manufactured",23636948.77367955,20851267.293,0.0,2785681.480679553,13.359770615068262,0.9960550813401025,0.0084721537461233,0.0,1.0,0.5180856081931888,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
267,2025,2,Netherlands,NLD,528,870322,Vehicles: spark-ignition internal combustion reciprocating p,3605237.816301723,2127473.45,0.0,1477764.3663017228,69.46100156040596,0.996632448545645,6.24687399865046e-05,0.0,1.0,0.5173062728503343,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
268,2025,2,USA,USA,842,901890,"Medical, surgical or dental instruments and appliances: n.e.",22862270.607292112,19320964.239,0.0,3541306.368292112,18.32882833634084,0.9923984223716652,0.0022967341751617,0.0,1.0,0.5165858475804397,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
269,2025,2,Malaysia,MYS,458,901380,"Optical devices, appliances and instruments: n.e.c. in headi",158125.61803280492,95208.879,0.0,62916.73903280492,66.08284825284511,0.8755777911168537,,0.0,1.0,0.5165262516820076,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
270,2024,1,USA,USA,842,853710,"Boards, panels, consoles, desks and other bases: for electri",21698071.602091305,18054560.874,0.0,3643510.7280913033,20.180555780441317,0.9935531567827506,0.0034796814384586,0.0,1.0,0.5156357961456043,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
271,2025,2,Singapore,SGP,702,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,7219532.066262847,4671386.295,0.0,2548145.771262847,54.54795665240199,0.992590878106846,0.0095718381935744,0.0,1.0,0.5155369333266431,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
272,2025,2,United Kingdom,GBR,826,870421,Vehicles: compression-ignition internal combustion piston en,11480720.93146182,7734321.613,0.0,3746399.318461821,48.43862856911457,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.5153738970250007,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
273,2026,3,TÃ¼rkiye,TUR,792,870332,Vehicles: compression-ignition internal combustion piston en,3100714.7630832065,1758531.488,0.0,1342183.2750832066,76.32409679565583,0.9916285994309416,0.0006749819510078,0.0,1.0,0.5153078536630565,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
274,2026,3,Mexico,MEX,484,854140,"Electrical apparatus: photosensitive, including photovoltaic",3105638.0065272218,1700973.441,0.0,1404664.565527222,82.58004103235272,0.994707891193836,2.6114010762027728e-05,0.0,1.0,0.515187666112229,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
275,2025,2,France,FRA,251,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,13572645.835659867,9851570.159,947.398,3721075.676659869,37.77139701188082,0.992590878106846,0.0095718381935744,9.616720834439728e-05,0.9999038327916556,0.514909202030163,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
276,2025,2,"China, Hong Kong SAR",HKG,344,841112,Turbo-jets: of a thrust exceeding 25kN,12967064.642293371,10335302.734,0.0,2631761.908293372,25.46381055327655,0.9941305239882932,0.0352056209127276,0.0,1.0,0.5148899276652447,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
277,2025,2,USA,USA,842,711319,Jewellery: of precious metal (excluding silver) whether or n,16037545.535147164,11808133.735,0.0,4229411.800147165,35.81778369947607,0.9956701698697406,0.0006646792296253,0.0,1.0,0.5148153764697239,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
278,2026,3,Germany,DEU,276,870323,Vehicles: spark-ignition internal combustion reciprocating p,16260203.96324941,12057211.352,0.0,4202992.61124941,34.85874543081833,0.9983645501622732,0.0001679715272888,0.0,1.0,0.5139315250582464,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
279,2025,2,Mexico,MEX,484,854140,"Electrical apparatus: photosensitive, including photovoltaic",2887864.392761022,1700973.441,0.0,1186890.951761022,69.77715954596272,0.994707891193836,2.6114010762027728e-05,0.0,1.0,0.5134785945046976,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
280,2026,3,Germany,DEU,276,841191,Turbines: parts of turbo-jets and turbo-propellers,9709849.379392192,7602104.722999999,0.0,2107744.6563921925,27.72580401339721,0.9927833338420268,0.0457660488944353,0.0,1.0,0.5134371168092021,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
281,2024,1,China,CHN,156,851712,Telephones for cellular networks or for other wireless netwo,30847078.20257468,32081627.159,1.214,-1234548.956425324,-3.848149441756076,0.9993268288381778,0.0006325295349067,3.7840973401482575e-08,0.9999999621590266,0.5128283531699108,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
282,2024,1,Singapore,SGP,702,854231,"Electronic integrated circuits: processors and controllers, ",30151291.175290905,30944193.1,0.0,-792901.9247090966,-2.562360964290572,0.998941917367816,0.0014564602011438,0.0,1.0,0.5125770781857868,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
283,2025,2,USA,USA,842,847330,Machinery: parts and accessories of the machines of heading ,30098431.3047559,30730075.277,0.0,-631643.9722440988,-2.0554585908120253,0.9958626256049214,0.0011502606559259,0.0,1.0,0.5124134914625855,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
284,2025,2,China,CHN,156,841112,Turbo-jets: of a thrust exceeding 25kN,11498524.494537916,9000058.86,0.0,2498465.6345379166,27.76054771866144,0.9941305239882932,0.0352056209127276,0.0,1.0,0.5115569989294854,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
285,2024,1,USA,USA,842,401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",10915492.793334823,10594324.367,4231.515,321168.4263348244,3.031513999469603,0.9881643961976851,0.0849139570672046,0.0003994133890388,0.9996005866109612,0.5111788640073773,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, relatively strong Algeria RCA signal, low current Algerian market penetration."
286,2025,2,Germany,DEU,276,401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",5671751.766609977,4877662.014,4.081,794089.7526099775,16.28013073334641,0.9881643961976851,0.0849139570672046,8.366713372690855e-07,0.9999991633286627,0.5103970324171575,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, relatively strong Algeria RCA signal, low current Algerian market penetration."
287,2025,2,Germany,DEU,276,870421,Vehicles: compression-ignition internal combustion piston en,8612316.062361913,5611782.486,0.0,3000533.576361913,53.46845826343942,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.5100595753369911,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
288,2026,3,Saudi Arabia,SAU,682,870323,Vehicles: spark-ignition internal combustion reciprocating p,5477205.385887335,3401074.923,0.0,2076130.462887335,61.043361580992,0.9983645501622732,0.0001679715272888,0.0,1.0,0.5099536250447652,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
289,2026,3,USA,USA,842,847150,Units of automatic data processing machines: processing unit,32905994.590785597,36561527.624,0.0,-3655533.033214405,-9.99830496911407,0.9943229797234742,0.0003088252491352,0.0,1.0,0.5096762185715861,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
290,2025,2,Japan,JPN,392,851712,Telephones for cellular networks or for other wireless netwo,21956620.070615698,18657505.512,0.0,3299114.558615696,17.68250614474585,0.9993268288381778,0.0006325295349067,0.0,1.0,0.5094205172277004,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
291,2024,1,USA,USA,842,850440,Electrical static converters,21486565.861544136,18058202.604,0.0,3428363.257544137,18.985074720474863,0.9952852583993788,0.0010363946534344,0.0,1.0,0.5092687125865322,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
292,2026,3,USA,USA,842,847130,"Automatic data processing machines: portable, weighing not m",36532282.541196935,45561777.25000001,0.0,-9029494.708803073,-19.818135406039435,0.9974022714863688,4.579819987309988e-05,0.0,1.0,0.5090903330030624,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
293,2025,2,Canada,CAN,124,870323,Vehicles: spark-ignition internal combustion reciprocating p,18552525.45966206,14689628.831,0.0,3862896.628662061,26.29676129399584,0.9983645501622732,0.0001679715272888,0.0,1.0,0.5081904172491845,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
294,2025,2,United Kingdom,GBR,826,841191,Turbines: parts of turbo-jets and turbo-propellers,9925675.31478832,7970160.239,0.0,1955515.075788319,24.53545496136316,0.9927833338420268,0.0457660488944353,0.0,1.0,0.507653923622099,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
295,2024,1,Switzerland,CHE,757,300210,"Blood, human or animal, antisera, other blood fractions and ",20449054.340188835,16885579.175,0.017,3563475.165188834,21.103659686513737,0.9981720944270924,6.864140758500904e-07,1.0067762452098421e-09,0.9999999989932238,0.5073622355459886,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
296,2026,3,Sweden,SWE,752,870332,Vehicles: compression-ignition internal combustion piston en,1656702.5951329882,664496.189,0.0,992206.4061329882,149.3170950500347,0.9916285994309416,0.0006749819510078,0.0,1.0,0.5070646595046133,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
297,2026,3,Switzerland,CHE,757,870332,Vehicles: compression-ignition internal combustion piston en,2846271.147032788,1706420.925,0.0,1139850.2220327875,66.79771710094258,0.9916285994309416,0.0006749819510078,0.0,1.0,0.5068379684625083,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
298,2025,2,Singapore,SGP,702,841112,Turbo-jets: of a thrust exceeding 25kN,10040091.535336023,7768950.381,0.0,2271141.154336025,29.233564934207877,0.9941305239882932,0.0352056209127276,0.0,1.0,0.5064704936164415,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
299,2025,2,Sweden,SWE,752,870332,Vehicles: compression-ignition internal combustion piston en,1490238.549727762,664496.189,0.0,825742.3607277619,124.26592874376315,0.9916285994309416,0.0006749819510078,0.0,1.0,0.5061143936570457,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
300,2025,2,USA,USA,842,841112,Turbo-jets: of a thrust exceeding 25kN,11377983.374771737,9082489.077,0.0,2295494.297771737,25.27384595027724,0.9941305239882932,0.0352056209127276,0.0,1.0,0.5054008892109357,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
301,2025,2,United Arab Emirates,ARE,784,841112,Turbo-jets: of a thrust exceeding 25kN,5741186.663202168,4121061.421,0.0,1620125.2422021674,39.31330006260946,0.9941305239882932,0.0352056209127276,0.0,1.0,0.5040943250987854,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
302,2026,3,Italy,ITA,380,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,2080541.101320099,1280965.986,0.0,799575.115320099,62.419699200357925,0.992590878106846,0.0095718381935744,0.0,1.0,0.503509959636188,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
303,2024,1,USA,USA,842,854140,"Electrical apparatus: photosensitive, including photovoltaic",24304993.82454715,22234486.709,0.0,2070507.1155471504,9.31214263070466,0.994707891193836,2.6114010762027728e-05,0.0,1.0,0.5027827962327762,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
304,2026,3,Netherlands,NLD,528,401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",2215876.793239645,1819842.351,0.0,396034.4422396452,21.76201922227082,0.9881643961976851,0.0849139570672046,0.0,1.0,0.5027231887464264,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, relatively strong Algeria RCA signal, low current Algerian market penetration."
305,2026,3,USA,USA,842,847330,Machinery: parts and accessories of the machines of heading ,29331022.21457128,30730075.277,0.0,-1399053.0624287166,-4.552716027597373,0.9958626256049214,0.0011502606559259,0.0,1.0,0.5025415024158214,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
306,2026,3,China,CHN,156,848620,Machines and apparatus of a kind used solely or principally ,23447317.72351751,26437900.645,0.0,-2990582.9214824885,-11.31172615268934,0.9920135109013032,,0.0,1.0,0.5019677387373416,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
307,2024,1,"China, Hong Kong SAR",HKG,344,711319,Jewellery: of precious metal (excluding silver) whether or n,22399277.722615432,19828154.378,16.888,2571123.3446154296,12.9670331166484,0.9956701698697406,0.0006646792296253,8.517182022113868e-07,0.9999991482817978,0.5008851003735864,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
308,2026,3,Brazil,BRA,76,841191,Turbines: parts of turbo-jets and turbo-propellers,4360588.737711762,3208805.077,0.0,1151783.660711762,35.894472648634554,0.9927833338420268,0.0457660488944353,0.0,1.0,0.5008627206255102,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
309,2026,3,Japan,JPN,392,300210,"Blood, human or animal, antisera, other blood fractions and ",14106631.729811449,10511870.831,0.0,3594760.8988114465,34.19715630647142,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.4999475199073722,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
310,2025,2,USA,USA,842,870421,Vehicles: compression-ignition internal combustion piston en,11848442.079104904,8435032.441,0.0,3413409.6381049044,40.46705999034941,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.499944402472449,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
311,2025,2,Germany,DEU,276,851712,Telephones for cellular networks or for other wireless netwo,19105692.52420936,15882469.139,0.24,3223223.3852093574,20.294220986676507,0.9993268288381778,0.0006325295349067,1.511100055662447e-08,0.9999999848889994,0.49888878362825123,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
312,2024,1,United Kingdom,GBR,826,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,6264583.026531511,4193402.225,613.353,2071180.801531511,49.39141752688679,0.992590878106846,0.0095718381935744,0.0001462661979676,0.9998537338020324,0.4987395709263237,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
313,2024,1,Japan,JPN,392,851712,Telephones for cellular networks or for other wireless netwo,21317321.551722948,18657505.512,0.0,2659816.039722945,14.256011008611114,0.9993268288381778,0.0006325295349067,0.0,1.0,0.4982365555873808,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
314,2024,1,USA,USA,842,901890,"Medical, surgical or dental instruments and appliances: n.e.",21783400.81473154,19320964.239,0.0,2462436.5757315382,12.744894847230396,0.9923984223716652,0.0022967341751617,0.0,1.0,0.49814859712056536,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
315,2025,2,Canada,CAN,124,870421,Vehicles: compression-ignition internal combustion piston en,3626324.690136767,2257247.517,0.0,1369077.1731367663,60.65250544416776,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.4973938351727356,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
316,2026,3,Japan,JPN,392,841112,Turbo-jets: of a thrust exceeding 25kN,5347792.233942885,3897125.83,0.0,1450666.4039428849,37.22400731266316,0.9941305239882932,0.0352056209127276,0.0,1.0,0.4972544834540197,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
317,2025,2,Italy,ITA,380,870322,Vehicles: spark-ignition internal combustion reciprocating p,6928030.299531384,4576947.6280000005,0.0,2351082.671531384,51.36791728068651,0.996632448545645,6.24687399865046e-05,0.0,1.0,0.4964897547923939,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
318,2026,3,Japan,JPN,392,841191,Turbines: parts of turbo-jets and turbo-propellers,4340333.949601575,3242154.682,0.0,1098179.2676015748,33.871896171349135,0.9927833338420268,0.0457660488944353,0.0,1.0,0.4962996618123939,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
319,2025,2,Germany,DEU,276,870332,Vehicles: compression-ignition internal combustion piston en,16545527.599818423,13091209.992,0.0,3454317.6078184247,26.386541885198906,0.9916285994309416,0.0006749819510078,0.0,1.0,0.49618071694913635,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
320,2024,1,United Kingdom,GBR,826,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,10656896.384137403,8965852.458999999,0.0,1691043.9251374044,18.860938576341617,0.9962475370752832,,0.0,1.0,0.4961465013955104,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
321,2026,3,United Kingdom,GBR,826,851712,Telephones for cellular networks or for other wireless netwo,14733716.707551727,11305056.035,0.0,3428660.672551729,30.328559734128984,0.9993268288381778,0.0006325295349067,0.0,1.0,0.49599566593114786,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
322,2025,2,Canada,CAN,124,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,5494734.674196071,3673278.999,0.0,1821455.6751960712,49.58664113703146,0.992590878106846,0.0095718381935744,0.0,1.0,0.49478145414152297,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
323,2025,2,Singapore,SGP,702,854231,"Electronic integrated circuits: processors and controllers, ",28667101.444326088,30944193.1,0.0,-2277091.6556739137,-7.358704259358806,0.998941917367816,0.0014564602011438,0.0,1.0,0.49355787289972003,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
324,2026,3,Germany,DEU,276,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,25784670.05368965,26135783.508,0.769,-351113.4543103464,-1.3434204266456091,0.9991343731029968,0.0038597822723884,2.9423261780715848e-08,0.9999999705767382,0.4931991936228298,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
325,2025,2,Germany,DEU,276,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,25779712.60845041,26135783.508,0.769,-356070.8995495923,-1.3623884642318114,0.9991343731029968,0.0038597822723884,2.9423261780715848e-08,0.9999999705767382,0.49312918514642456,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
326,2025,2,China,CHN,156,848620,Machines and apparatus of a kind used solely or principally ,22802695.531301428,26437900.645,0.0,-3635205.113698572,-13.749976454299413,0.9920135109013032,,0.0,1.0,0.49292643351299636,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
327,2024,1,China,CHN,156,848620,Machines and apparatus of a kind used solely or principally ,22801214.49243393,26437900.645,0.0,-3636686.152566064,-13.755578407674529,0.9920135109013032,,0.0,1.0,0.4929056608424122,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
328,2024,1,USA,USA,842,870829,"Vehicles: parts and accessories, of bodies, other than safet",22387810.66871495,20648160.68,0.0,1739649.988714952,8.42520559422028,0.9939380682531124,0.0026689262778106,0.0,1.0,0.49284659572624295,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
329,2025,2,India,IND,699,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,10830139.530478284,9278965.03,0.0,1551174.5004782844,16.71710686981956,0.9962475370752832,,0.0,1.0,0.49242140479697233,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
330,2024,1,Egypt,EGY,818,100199,"Cereals: wheat and meslin, other than durum wheat, other tha",1236036.7889940897,749408.775,0.0,486628.0139940897,64.93492339932764,0.9889342191384088,9.185849923801444e-05,0.0,1.0,0.49232419967515073,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
331,2024,1,Germany,DEU,276,300490,Medicaments: consisting of mixed or unmixed products n.e.c. ,25684814.672541533,26135783.508,0.769,-450968.8354584687,-1.7254842783665922,0.9991343731029968,0.0038597822723884,2.9423261780715848e-08,0.9999999705767382,0.4917890473160784,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
332,2024,1,USA,USA,842,880330,Aircraft and spacecraft: parts of aeroplanes or helicopters ,15722542.338835848,12934336.788,0.0,2788205.550835848,21.556617834651117,0.992590878106846,0.0095718381935744,0.0,1.0,0.49153217046645636,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
333,2024,1,Mexico,MEX,484,901380,"Optical devices, appliances and instruments: n.e.c. in headi",311148.5766952111,201328.333,0.0,109820.24369521112,54.54783341160984,0.8755777911168537,,0.0,1.0,0.4914252282533573,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
334,2024,1,Singapore,SGP,702,854239,Electronic integrated circuits: n.e.c. in heading no. 8542,28795486.744051285,31298268.378,0.0,-2502781.633948713,-7.996549852923987,0.998557005897454,0.0001545718456304,0.0,1.0,0.4912780359465422,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
335,2024,1,United Arab Emirates,ARE,784,711319,Jewellery: of precious metal (excluding silver) whether or n,18769970.3636801,15920188.148,0.0,2849782.215680098,17.900430504887638,0.9956701698697406,0.0006646792296253,0.0,1.0,0.4910151381618507,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
336,2024,1,China,CHN,156,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,10901218.251554703,9441362.505,0.0,1459855.7465547044,15.462341857773044,0.9962475370752832,,0.0,1.0,0.49006806344899245,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
337,2024,1,Sweden,SWE,752,870332,Vehicles: compression-ignition internal combustion piston en,1087738.5025716189,664496.189,0.0,423242.31357161887,63.69371571694881,0.9916285994309416,0.0006749819510078,0.0,1.0,0.489973949474779,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
338,2025,2,France,FRA,251,870421,Vehicles: compression-ignition internal combustion piston en,7172253.723745595,4848334.581,0.0,2323919.1427455945,47.93231786957804,0.9933607010475696,5.4398730230638e-05,0.0,1.0,0.48966553655311595,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
339,2024,1,Germany,DEU,276,401110,"Rubber: new pneumatic tyres, of a kind used on motor cars (i",5244439.7933179,4877662.014,4.081,366777.7793179005,7.519540678816303,0.9881643961976851,0.0849139570672046,8.366713372690855e-07,0.9999991633286627,0.4886940878700016,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, relatively strong Algeria RCA signal, low current Algerian market penetration."
340,2025,2,Mexico,MEX,484,901380,"Optical devices, appliances and instruments: n.e.c. in headi",308379.3945176234,201328.333,0.0,107051.06151762344,53.17237763927815,0.8755777911168537,,0.0,1.0,0.48838493722724424,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
341,2026,3,USA,USA,842,870899,Vehicle parts and accessories: n.e.c. in heading no. 8708,19476331.71076804,16972017.729,0.0,2504313.981768042,14.755546581175988,0.9954777141345597,0.0002118524922768,0.0,1.0,0.48756038635773424,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
342,2026,3,France,FRA,251,841112,Turbo-jets: of a thrust exceeding 25kN,6308354.233073408,4855194.632999999,785.748,1453159.6000734083,29.92999683671813,0.9941305239882932,0.0352056209127276,0.0001618365605076,0.9998381634394924,0.48669102912690715,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
343,2024,1,Belgium,BEL,56,870322,Vehicles: spark-ignition internal combustion reciprocating p,4838690.7909966055,3186126.238,0.0,1652564.5529966056,51.86751652483036,0.996632448545645,6.24687399865046e-05,0.0,1.0,0.4856612532176751,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
344,2025,2,TÃ¼rkiye,TUR,792,870332,Vehicles: compression-ignition internal combustion piston en,2765338.288845768,1758531.488,0.0,1006806.8008457678,57.25270248022809,0.9916285994309416,0.0006749819510078,0.0,1.0,0.4853874738661952,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
345,2025,2,Belgium,BEL,56,300210,"Blood, human or animal, antisera, other blood fractions and ",14877178.592856972,11863179.029,0.0,3013999.5638569724,25.4063397044682,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.4850161295737699,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
346,2025,2,Saudi Arabia,SAU,682,870322,Vehicles: spark-ignition internal combustion reciprocating p,10641961.669605527,7822154.753,0.0,2819806.9166055284,36.0489789021888,0.996632448545645,6.24687399865046e-05,0.0,1.0,0.4840061228217078,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
347,2026,3,Canada,CAN,124,853710,"Boards, panels, consoles, desks and other bases: for electri",3301281.329137569,2151096.0500000003,0.0,1150185.2791375683,53.46973135567649,0.9935531567827506,0.0034796814384586,0.0,1.0,0.4838164803208137,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
348,2025,2,China,CHN,156,300210,"Blood, human or animal, antisera, other blood fractions and ",12355532.253813086,9411142.015,0.0,2944390.238813085,31.28621621180674,0.9981720944270924,6.864140758500904e-07,0.0,1.0,0.48355045495913646,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
349,2024,1,Germany,DEU,276,880240,Aeroplanes and other aircraft: of an unladen weight exceedin,5524246.226910143,4369660.544,0.0,1154585.6829101434,26.42277749688154,0.9962475370752832,,0.0,1.0,0.4834742788394556,random_forest,False,non_hydrocarbon_diversification,"Positive predicted growth, strong global demand, low current Algerian market penetration."
